artifact,evidence_status,experiment,book,model,env_tag,host,backend,ctx,parallel,kv,arm,n,correct,accuracy_pct,validation,dirty,commit,elapsed_s,finished,endpoint,note
batch_size__mushoku16__qwen__qwen3-14b__thunder-a6000.json,exploratory,batch_size,mushoku16,qwen/qwen3-14b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,b25,139,65,46.8,ok,False,,1396.6,07-28 16:25,http://localhost:1234/v1,
batch_size__mushoku16__qwen__qwen3-14b__thunder-a6000.json,exploratory,batch_size,mushoku16,qwen/qwen3-14b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,b5,139,52,37.4,ok,False,,1396.6,07-28 16:25,http://localhost:1234/v1,
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp-rep1.json,provisional,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b100,162,75,46.3,ok,True,fe025a5f,8526.1,07-30 07:13,http://127.0.0.1:8090/v1,
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp-rep1.json,provisional,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b25,162,66,40.7,ok,True,fe025a5f,8526.1,07-30 07:13,http://127.0.0.1:8090/v1,
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp-rep1.json,provisional,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b50,162,77,47.5,ok,True,fe025a5f,8526.1,07-30 07:13,http://127.0.0.1:8090/v1,
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp-rep2.json,provisional,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b100,162,75,46.3,ok,True,fe025a5f,8230.1,07-30 09:30,http://127.0.0.1:8090/v1,
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp-rep2.json,provisional,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b25,162,66,40.7,ok,True,fe025a5f,8230.1,07-30 09:30,http://127.0.0.1:8090/v1,
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp-rep2.json,provisional,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b50,162,77,47.5,ok,True,fe025a5f,8230.1,07-30 09:30,http://127.0.0.1:8090/v1,
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp.json,supported_measurement,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b10,162,59,36.4,ok,False,04a69e4c,2716.3,07-29 02:35,http://127.0.0.1:8090/v1,
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp.json,supported_measurement,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b25,162,64,39.5,ok,False,04a69e4c,2716.3,07-29 02:35,http://127.0.0.1:8090/v1,
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp.json,supported_measurement,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b5,162,43,26.5,ok,False,04a69e4c,2716.3,07-29 02:35,http://127.0.0.1:8090/v1,
batch_size__owarimonogatari3__qwen__qwen3-14b__local-llamacpp.json,supported_measurement,batch_size,owarimonogatari3,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,32768,1,q8_0,b50,162,75,46.3,ok,False,04a69e4c,2716.3,07-29 02:35,http://127.0.0.1:8090/v1,
because_production__grimgar03__qwen__qwen3-14b__local.json,historical_only,because_production,grimgar03,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,baseline,400,222,55.5,ok,False,49cb52a6,4766.2,07-27 18:17,http://localhost:1234/v1,
because_production__grimgar03__qwen__qwen3-14b__local.json,historical_only,because_production,grimgar03,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,thinking,400,255,63.7,ok,False,49cb52a6,4766.2,07-27 18:17,http://localhost:1234/v1,
because_production__mushoku16__qwen__qwen3-14b__local.json,supported_measurement,because_production,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,baseline,139,69,49.6,ok,False,f4d2692f,2668.6,07-27 21:55,http://localhost:1234/v1,
because_production__mushoku16__qwen__qwen3-14b__local.json,supported_measurement,because_production,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,thinking,139,73,52.5,ok,False,f4d2692f,2668.6,07-27 21:55,http://localhost:1234/v1,
because_production__qwen__qwen3-14b.json,provisional,because_production,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,baseline,139,69,49.6,ok,True,2ce90a96,4564.3,07-27 11:04,http://localhost:1234/v1,
because_production__qwen__qwen3-14b.json,provisional,because_production,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,because,139,59,42.4,ok,True,2ce90a96,4564.3,07-27 11:04,http://localhost:1234/v1,
because_production__qwen__qwen3-14b.json,provisional,because_production,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,scaffold_thinking,139,60,43.2,ok,True,2ce90a96,4564.3,07-27 11:04,http://localhost:1234/v1,
blinded_listening.json,supported_structure,,,,,,,,,,,,,,,,,,,,NOT INDEXED: TTS provenance artifact; read its per-book/category summary directly
booknlp_baseline__pdnc_prideandprejudice.json,exploratory,booknlp_baseline,?,booknlp-big,local-lmstudio,,lmstudio,,,f16?,booknlp,1226,665,54.2,None,,,,,,
candidate_id__qwen__qwen3-14b.json,historical_only,candidate_id,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,id,147,52,35.4,ok,False,53299de7,68.3,07-26 20:39,http://localhost:1234/v1,
candidate_id__qwen__qwen3-14b.json,historical_only,candidate_id,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,name,147,72,49.0,ok,False,53299de7,68.3,07-26 20:39,http://localhost:1234/v1,
cascade__grimgar03__llama-3.3-70b__a6000-batchtrig.json,exploratory,cascade,grimgar03,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cascade,396,292,73.7,ok,False,,0.1,07-30 07:58,http://127.0.0.1:8090/v1,
cascade__grimgar03__llama-3.3-70b__a6000-batchtrig.json,exploratory,cascade,grimgar03,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cheap-w1,396,227,57.3,ok,False,,0.1,07-30 07:58,http://127.0.0.1:8090/v1,
cascade__grimgar03__llama-3.3-70b__a6000-contig.json,exploratory,cascade,grimgar03,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cascade,400,311,77.8,ok,False,,0.1,07-28 19:42,http://127.0.0.1:8090/v1,
cascade__grimgar03__llama-3.3-70b__a6000-contig.json,exploratory,cascade,grimgar03,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cheap-w1,400,223,55.8,ok,False,,0.1,07-28 19:42,http://127.0.0.1:8090/v1,
cascade__grimgar03__llama-3.3-70b__tuned-cheap-arm.json,exploratory,cascade,grimgar03,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-kwami7f2-main,llama.cpp-cuda,16384,1,f16?,cascade,396,335,84.6,ok,False,,0.2,08-02 17:03,http://127.0.0.1:8090/v1,
cascade__grimgar03__llama-3.3-70b__tuned-cheap-arm.json,exploratory,cascade,grimgar03,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-kwami7f2-main,llama.cpp-cuda,16384,1,f16?,cheap-w1,396,326,82.3,ok,False,,0.2,08-02 17:03,http://127.0.0.1:8090/v1,
cascade__index18__google__gemma-3-27b__a6000-newbook.json,exploratory,cascade,index18,qwen/qwen3-14b + google/gemma-3-27b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,cascade,99,65,65.7,ok,False,,0.1,07-29 19:09,http://localhost:1234/v1,
cascade__index18__google__gemma-3-27b__a6000-newbook.json,exploratory,cascade,index18,qwen/qwen3-14b + google/gemma-3-27b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,cheap-w1,99,62,62.6,ok,False,,0.1,07-29 19:09,http://localhost:1234/v1,
cascade__index18__llama-3.3-70b__a6000-batchtrig.json,exploratory,cascade,index18,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cascade,99,69,69.7,ok,False,,0.1,07-30 08:28,http://127.0.0.1:8090/v1,
cascade__index18__llama-3.3-70b__a6000-batchtrig.json,exploratory,cascade,index18,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cheap-w1,99,62,62.6,ok,False,,0.1,07-30 08:28,http://127.0.0.1:8090/v1,
cascade__index18__llama-3.3-70b__a6000-newbook.json,exploratory,cascade,index18,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cascade,99,73,73.7,ok,False,,0.1,07-28 22:27,http://127.0.0.1:8090/v1,
cascade__index18__llama-3.3-70b__a6000-newbook.json,exploratory,cascade,index18,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cheap-w1,99,62,62.6,ok,False,,0.1,07-28 22:27,http://127.0.0.1:8090/v1,
cascade__index18__llama-3.3-70b__tuned-cheap-arm.json,exploratory,cascade,index18,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-kwami7f2-main,llama.cpp-cuda,16384,1,f16?,cascade,99,63,63.6,ok,False,,0.1,08-02 22:19,http://127.0.0.1:8090/v1,
cascade__index18__llama-3.3-70b__tuned-cheap-arm.json,exploratory,cascade,index18,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-kwami7f2-main,llama.cpp-cuda,16384,1,f16?,cheap-w1,99,57,57.6,ok,False,,0.1,08-02 22:19,http://127.0.0.1:8090/v1,
cascade__mushoku16__llama-3.3-70b__a6000-batchtrig.json,exploratory,cascade,mushoku16,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cascade,136,87,64.0,ok,False,,0.1,07-30 08:12,http://127.0.0.1:8090/v1,
cascade__mushoku16__llama-3.3-70b__a6000-batchtrig.json,exploratory,cascade,mushoku16,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cheap-w1,136,68,50.0,ok,False,,0.1,07-30 08:12,http://127.0.0.1:8090/v1,
cascade__mushoku16__llama-3.3-70b__a6000-contig.json,exploratory,cascade,mushoku16,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cascade,139,89,64.0,ok,False,,0.1,07-28 19:16,http://127.0.0.1:8090/v1,
cascade__mushoku16__llama-3.3-70b__a6000-contig.json,exploratory,cascade,mushoku16,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cheap-w1,139,66,47.5,ok,False,,0.1,07-28 19:16,http://127.0.0.1:8090/v1,
cascade__mushoku16__llama-3.3-70b__tuned-cheap-arm.json,exploratory,cascade,mushoku16,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-kwami7f2-main,llama.cpp-cuda,16384,1,f16?,cascade,136,84,61.8,ok,False,,0.1,08-02 21:39,http://127.0.0.1:8090/v1,
